"cont","iso3","Mean","Sd","CI_low","CI_high"
"America","ECU",-0.624,0.0776,-0.778,-0.468
"America","GLP",-0.0793,0.0478,-0.178,0.0125
"America","GRD",NA,NA,NA,NA
"America","GTM",-0.0815,0.0597,-0.198,0.0398
"America","GUF",-1.24,0.144,-1.61,-1.01
"America","GUY",-0.69,0.147,-0.975,-0.439
"America","HND",NA,NA,NA,NA
"America","HTI",NA,NA,NA,NA
"America","JAM",-0.03,0.0275,-0.0836,0.0243
"America","KNA",NA,NA,NA,NA
"America","LCA",NA,NA,NA,NA
"America","MAF",NA,NA,NA,NA
"America","MEX",-0.271,0.0314,-0.337,-0.211
"America","MSR",NA,NA,NA,NA
"America","MTQ",-0.184,0.0297,-0.24,-0.126
"America","NIC",NA,NA,NA,NA
"America","PAN",-0.339,0.0697,-0.471,-0.19
"America","PER",-0.472,0.0567,-0.572,-0.358
"America","PRI",NA,NA,NA,NA
"America","PRY",-0.171,0.0563,-0.284,-0.0637
"America","SLV",NA,NA,NA,NA
"America","SUR",-1.45,0.218,-1.88,-1.07
"America","SXM",NA,NA,NA,NA
"America","TTO",-0.236,0.0341,-0.305,-0.17
"America","VCT",NA,NA,NA,NA
"America","VEN",-0.442,0.089,-0.596,-0.238
"America","VGB",NA,NA,NA,NA
"America","VIR",-0.607,0.105,-0.865,-0.443
"Asia","AUS-QLD",-0.164,0.11,-0.394,0.0422
"Asia","BGD",-0.106,0.0515,-0.212,-0.0191
"Asia","BRN",-0.519,0.126,-0.782,-0.275
"Asia","BTN",-0.317,0.0549,-0.447,-0.217
"Asia","FJI",-0.202,0.0478,-0.295,-0.108
"Asia","IDN",-0.368,0.0347,-0.44,-0.305
"Asia","IND-AND",-0.356,0.141,-0.624,-0.0834
"Asia","IND-WEST",-0.272,0.0362,-0.341,-0.2
"Asia","IND-EAST",-0.251,0.0365,-0.326,-0.185
"Asia","KHM",-0.588,0.0631,-0.713,-0.464
"Asia","LAO",-0.0929,0.0295,-0.15,-0.0414
"Asia","LKA",-0.306,0.04,-0.381,-0.223
"Asia","MMR",-0.274,0.03,-0.344,-0.22
"Asia","MYS",-0.238,0.045,-0.333,-0.161
"Asia","NCL",-0.338,0.0428,-0.419,-0.246
"Asia","PHL",-0.112,0.0236,-0.158,-0.0668
"Asia","PNG",-0.382,0.0565,-0.512,-0.28
"Asia","SGP",-1.46,0.15,-1.78,-1.2
"Asia","SLB",-0.548,0.0999,-0.789,-0.388
"Asia","THA",-0.0155,0.0446,-0.111,0.0622
"Asia","TLS",-0.223,0.0273,-0.277,-0.172
"Asia","VNM",-0.221,0.0336,-0.289,-0.159
"Asia","VUT",NA,NA,NA,NA
"Brazil","BRA-AC",-0.42,0.102,-0.607,-0.219
"Brazil","BRA-AL",-0.0649,0.0249,-0.116,-0.0168
"Brazil","BRA-AM",-0.925,0.117,-1.11,-0.69
"Brazil","BRA-AP",-0.67,0.17,-0.941,-0.303
"Brazil","BRA-BA",NA,NA,NA,NA
"Brazil","BRA-CE",-0.0985,0.0245,-0.147,-0.0521
"Brazil","BRA-ES",-0.00212,0.0199,-0.0424,0.0337
"Brazil","BRA-GO",NA,NA,NA,NA
"Brazil","BRA-MA",-0.0349,0.0287,-0.0945,0.021
"Brazil","BRA-MG",NA,NA,NA,NA
"Brazil","BRA-MS",-0.287,0.102,-0.509,-0.1
"Brazil","BRA-MT",-0.202,0.0544,-0.302,-0.0959
"Brazil","BRA-PA",-0.817,0.0841,-0.964,-0.651
"Brazil","BRA-PB",-0.0665,0.0291,-0.125,-0.0134
"Brazil","BRA-PE",-0.0613,0.023,-0.107,-0.0176
"Brazil","BRA-PI",-0.103,0.0487,-0.202,-0.0118
"Brazil","BRA-PR",NA,NA,NA,NA
"Brazil","BRA-RJ",-0.0623,0.0291,-0.118,-0.00628
"Brazil","BRA-RN",-0.107,0.0313,-0.165,-0.0443
"Brazil","BRA-RO",-0.272,0.09,-0.434,-0.107
"Brazil","BRA-RR",NA,NA,NA,NA
"Brazil","BRA-RS",-0.0545,0.0277,-0.106,-0.00127
"Brazil","BRA-SC",-0.0337,0.026,-0.0857,0.0164
"Brazil","BRA-SE",-0.0806,0.0224,-0.123,-0.0369
"Brazil","BRA-SP",-0.0269,0.0382,-0.1,0.0503
"Brazil","BRA-TO",-0.134,0.0354,-0.209,-0.0623
